"team_id","team_name","y1999","y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","y2018","y2019"
1,"76ers",NULL,NULL,19651,20560,19685,19222,17870,16518,14843,14870,15802,14224,14751,17502,16717,13869,13940,14881,17330,20329,20441
2,"Bulls",NULL,NULL,21674,18934,19617,19736,20204,21188,22252,21987,21197,20725,21791,22161,21876,21716,21343,21820,21680,20776,20084
3,"Mavericks",NULL,NULL,16588,19580,19912,20136,20061,20114,20351,20286,20042,19994,20101,20334,20036,19950,20187,20143,19789,19791,20013
4,"Raptors",NULL,NULL,19347,19783,18963,18307,17155,17056,18258,19435,18773,17897,16566,16835,18144,18252,19751,19825,19830,19839,19824
5,"Heat",NULL,NULL,16516,15989,15322,15239,19881,19954,19720,19463,18229,17730,19778,19935,19982,19781,19712,19740,19643,19631,19640
6,"Warriors",NULL,NULL,14438,14467,15486,16235,16350,18272,18104,19630,18942,18027,18692,18857,19373,19596,19596,19596,19596,19596,19596
7,"Trail Blazers",NULL,NULL,20277,19459,19420,16683,16594,15049,16360,19550,20524,20497,20510,20496,19829,19746,19554,19367,19317,19398,19496
8,"Cavaliers",NULL,NULL,15872,14539,11496,18287,19128,19326,20436,20465,20010,20562,20112,15926,16192,17329,20562,20562,20562,20562,19349
9,"NY Knicks",NULL,NULL,19763,19763,19011,19164,19515,18931,18805,19115,19287,19501,19728,19763,19033,19812,19812,19812,19774,19331,19002
10,"Lakers",NULL,NULL,18935,18997,18972,18969,18792,18882,18985,18997,18997,18997,18997,18997,18997,18828,18737,18997,18949,18934,18997
11,"Celtics",NULL,NULL,15346,16091,17293,16201,16001,16899,16843,18624,18624,18169,18624,18624,18624,18107,17593,18270,18553,18624,18624
12,"Nuggets",NULL,NULL,15104,15459,14824,17596,17657,17137,17230,17364,17223,17995,16901,17029,17819,16899,14700,14095,14770,17141,18450
13,"Spurs",NULL,NULL,22272,22107,17950,18041,18316,18797,18654,18564,18269,18089,18314,18396,18431,18415,18606,18449,18423,18403,18307
14,"Jazz",NULL,NULL,19321,18685,19171,19154,18756,18332,19566,19907,19903,19378,19511,19306,18680,18175,18830,19304,19673,17922,18306
15,"Thunder",NULL,NULL,15630,15451,15541,15255,16475,16198,15955,13355,18693,18003,18148,18203,18203,18203,18203,18203,18203,18203,18203
16,"Rockets",NULL,NULL,12647,11737,13784,15629,16181,15514,16545,17524,17482,16528,16191,15363,16672,18123,18229,17981,16973,17900,18058
17,"Bucks",NULL,NULL,16661,18178,16243,16833,15536,16617,16186,15595,15389,15108,15412,14718,15035,13487,14907,15166,15828,16714,17602
18,"Magic",NULL,NULL,14756,15149,14778,14369,14583,15561,17094,17301,17043,17461,18972,18896,17595,16245,16785,17543,17753,17893,17561
19,"Wizards",NULL,NULL,15576,20674,20172,15740,17196,17196,18372,17962,16612,16204,16791,16728,16343,17026,18238,17693,17002,17973,17487
20,"Clippers",NULL,NULL,14620,18053,17231,16229,16980,17375,18421,16888,16170,16343,17742,19219,19226,19212,19168,19192,19088,17019,17325
21,"Kings",NULL,NULL,17317,17317,17317,17317,17317,17317,17317,14150,12571,13254,13890,14508,13749,16291,16586,17256,17608,17555,17096
22,"Pacers",NULL,NULL,17888,16744,16352,16544,16994,16179,15359,12221,14182,14202,13538,14168,15269,17501,16864,16847,16697,16051,16812
23,"Hornets",NULL,NULL,0,0,0,0,14431,16366,15549,14717,14526,15824,15846,14757,15324,15518,17192,17485,17332,16375,16501
24,"Pistons",NULL,NULL,14812,18556,20470,21290,22076,22076,22076,22076,21877,18751,16660,14413,14782,15005,15266,16515,15979,17413,16486
25,"Pelicans",NULL,NULL,15010,11286,15650,14332,14221,18168,17833,14181,16968,15130,14709,15109,13803,16390,16677,16793,16173,16437,16004
26,"Grizzlies",NULL,NULL,13737,14415,14910,15188,16862,15793,14654,12770,12745,13485,14650,15704,16624,16718,17329,16697,16519,15947,15578
27,"Hawks",NULL,NULL,13666,12344,12894,13798,14302,15071,15594,16280,16748,16545,15648,15199,15125,14339,17412,16832,15958,14409,15327
28,"Timberwolves",NULL,NULL,17496,17845,15699,17635,17181,16150,15998,14476,14505,15101,15242,17490,16340,14564,14528,14175,14809,17056,15305
29,"Suns",NULL,NULL,17989,16315,16257,16350,17708,17809,18422,18422,18422,17648,17567,15597,15436,15871,16923,17107,17283,16866,15293
30,"Nets",NULL,NULL,13806,13760,15184,14952,15089,16866,16925,15656,15147,13103,14179,13961,17187,17251,17037,15125,15429,15556,14941
