,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
76ers,"20,441","20,329","17,330","14,881","13,940","13,869","16,717","17,502","14,751","14,224","15,802","14,870","14,843","16,518","17,870","19,222","19,685","20,560","19,651"
Bulls,"20,084","20,776","21,680","21,820","21,343","21,716","21,876","22,161","21,791","20,725","21,197","21,987","22,252","21,188","20,204","19,736","19,617","18,934","21,674"
Mavericks,"20,013","19,791","19,789","20,143","20,187","19,950","20,036","20,334","20,101","19,994","20,042","20,286","20,351","20,114","20,061","20,136","19,912","19,580","16,588"
Raptors,"19,824","19,839","19,830","19,825","19,751","18,252","18,144","16,835","16,566","17,897","18,773","19,435","18,258","17,056","17,155","18,307","18,963","19,783","19,347"
Heat,"19,640","19,631","19,643","19,740","19,712","19,781","19,982","19,935","19,778","17,730","18,229","19,463","19,720","19,954","19,881","15,239","15,322","15,989","16,516"
Warriors,"19,596","19,596","19,596","19,596","19,596","19,596","19,373","18,857","18,692","18,027","18,942","19,630","18,104","18,272","16,350","16,235","15,486","14,467","14,438"
Trail Blazers,"19,496","19,398","19,317","19,367","19,554","19,746","19,829","20,496","20,510","20,497","20,524","19,550","16,360","15,049","16,594","16,683","19,420","19,459","20,277"
Cavaliers,"19,349","20,562","20,562","20,562","20,562","17,329","16,192","15,926","20,112","20,562","20,010","20,465","20,436","19,326","19,128","18,287","11,496","14,539","15,872"
NY Knicks,"19,002","19,331","19,774","19,812","19,812","19,812","19,033","19,763","19,728","19,501","19,287","19,115","18,805","18,931","19,515","19,164","19,011","19,763","19,763"
Lakers,"18,997","18,934","18,949","18,997","18,737","18,828","18,997","18,997","18,997","18,997","18,997","18,997","18,985","18,882","18,792","18,969","18,972","18,997","18,935"
Celtics,"18,624","18,624","18,553","18,270","17,593","18,107","18,624","18,624","18,624","18,169","18,624","18,624","16,843","16,899","16,001","16,201","17,293","16,091","15,346"
Nuggets,"18,450","17,141","14,770","14,095","14,700","16,899","17,819","17,029","16,901","17,995","17,223","17,364","17,230","17,137","17,657","17,596","14,824","15,459","15,104"
Spurs,"18,307","18,403","18,423","18,449","18,606","18,415","18,431","18,396","18,314","18,089","18,269","18,564","18,654","18,797","18,316","18,041","17,950","22,107","22,272"
Jazz,"18,306","17,922","19,673","19,304","18,830","18,175","18,680","19,306","19,511","19,378","19,903","19,907","19,566","18,332","18,756","19,154","19,171","18,685","19,321"
Thunder,"18,203","18,203","18,203","18,203","18,203","18,203","18,203","18,203","18,148","18,003","18,693","13,355","15,955","16,198","16,475","15,255","15,541","15,451","15,630"
Rockets,"18,058","17,900","16,973","17,981","18,229","18,123","16,672","15,363","16,191","16,528","17,482","17,524","16,545","15,514","16,181","15,629","13,784","11,737","12,647"
Bucks,"17,602","16,714","15,828","15,166","14,907","13,487","15,035","14,718","15,412","15,108","15,389","15,595","16,186","16,617","15,536","16,833","16,243","18,178","16,661"
Magic,"17,561","17,893","17,753","17,543","16,785","16,245","17,595","18,896","18,972","17,461","17,043","17,301","17,094","15,561","14,583","14,369","14,778","15,149","14,756"
Wizards,"17,487","17,973","17,002","17,693","18,238","17,026","16,343","16,728","16,791","16,204","16,612","17,962","18,372","17,196","17,196","15,740","20,172","20,674","15,576"
Clippers,"17,325","17,019","19,088","19,192","19,168","19,212","19,226","19,219","17,742","16,343","16,170","16,888","18,421","17,375","16,980","16,229","17,231","18,053","14,620"
Kings,"17,096","17,555","17,608","17,256","16,586","16,291","13,749","14,508","13,890","13,254","12,571","14,150","17,317","17,317","17,317","17,317","17,317","17,317","17,317"
Pacers,"16,812","16,051","16,697","16,847","16,864","17,501","15,269","14,168","13,538","14,202","14,182","12,221","15,359","16,179","16,994","16,544","16,352","16,744","17,888"
Hornets,"16,501","16,375","17,332","17,485","17,192","15,518","15,324","14,757","15,846","15,824","14,526","14,717","15,549","16,366","14,431",0,0,0,0
Pistons,"16,486","17,413","15,979","16,515","15,266","15,005","14,782","14,413","16,660","18,751","21,877","22,076","22,076","22,076","22,076","21,290","20,470","18,556","14,812"
Pelicans,"16,004","16,437","16,173","16,793","16,677","16,390","13,803","15,109","14,709","15,130","16,968","14,181","17,833","18,168","14,221","14,332","15,650","11,286","15,010"
Grizzlies,"15,578","15,947","16,519","16,697","17,329","16,718","16,624","15,704","14,650","13,485","12,745","12,770","14,654","15,793","16,862","15,188","14,910","14,415","13,737"
Hawks,"15,327","14,409","15,958","16,832","17,412","14,339","15,125","15,199","15,648","16,545","16,748","16,280","15,594","15,071","14,302","13,798","12,894","12,344","13,666"
Timberwolves,"15,305","17,056","14,809","14,175","14,528","14,564","16,340","17,490","15,242","15,101","14,505","14,476","15,998","16,150","17,181","17,635","15,699","17,845","17,496"
Suns,"15,293","16,866","17,283","17,107","16,923","15,871","15,436","15,597","17,567","17,648","18,422","18,422","18,422","17,809","17,708","16,350","16,257","16,315","17,989"
Nets,"14,941","15,556","15,429","15,125","17,037","17,251","17,187","13,961","14,179","13,103","15,147","15,656","16,925","16,866","15,089","14,952","15,184","13,760","13,806"
